from,to,value,title
San Jose Sharks,Carolina Hurricanes,1,Trevor Carrick
Ottawa Senators,Tampa Bay Lightning,2,"Ryan Callahan, 2020 5th round pick"
New Jersey Devils,Vegas Golden Knights,1,Nikita Gusev
Pittsburgh Penguins,Edmonton Oilers,1,John Marino
Toronto Maple Leafs,St. Louis Blues,1,Jordan Schmaltz
Toronto Maple Leafs,Vegas Golden Knights,2,"David Clarkson, 2020 4th round pick "
Calgary Flames,Edmonton Oilers,2,"Milan Lucic, 2020 3rd round pick "
Chicago Blackhawks,Ottawa Senators,1,Zack Smith
Buffalo Sabres,Chicago Blackhawks,1,Henri Jokiharju
Ottawa Senators,Toronto Maple Leafs,3,"Nikita Zaitsev, Connor Brown, Michael Carcone"
Buffalo Sabres,New York Rangers,1,Jimmy Vesey
Toronto Maple Leafs,Colorado Avalanche,3,"Tyson Barrie, Alex Kerfoot, 2020 6th round pick "
Chicago Blackhawks,Montreal Canadiens,2,"Andrew Shaw, 2021 7th round pick "
Anaheim Ducks,Montreal Canadiens,1,Nicolas Deslauriers
Carolina Hurricanes,Florida Panthers,1,James Reimer
Pittsburgh Penguins,Arizona Coyotes,2,"Alex Galchenyuk, Pierre-Olivier Joseph"
Colorado Avalanche,Florida Panthers,1,Jacob MacDonald
Buffalo Sabres,Vegas Golden Knights,1,Colin Miller
Colorado Avalanche,Washington Capitals,1,Andre Burakovsky
Carolina Hurricanes,Vegas Golden Knights,1,Erik Haula
Arizona Coyotes,Colorado Avalanche,1,Carl Soderberg
Chicago Blackhawks,Carolina Hurricanes,2,"Calvin de Haan, Aleksi Saarela"
Philadelphia Flyers,Dallas Stars,1,Tyler Pitlick
San Jose Sharks,Vancouver Canucks,2,"Tom Pyatt, 2019 6th round pick "
New Jersey Devils,Chicago Blackhawks,1,John Hayden
Vancouver Canucks,Tampa Bay Lightning,1,J.T Miller
New Jersey Devils,Nashville Predators,1,P.K. Subban
Carolina Hurricanes,Toronto Maple Leafs,3,"Patrick Marleau, 2020 conditional 1st round pick, 2020 7th round pick "
Philadelphia Flyers,San Jose Sharks,1,Justin Braun
New York Rangers,Winnipeg Jets,1,Jacob Trouba
Chicago Blackhawks,Pittsburgh Penguins,1,Olli Maatta
Nashville Predators,Tampa Bay Lightning,1,Connor Ingram
Washington Capitals,Philadelphia Flyers,1,Radko Gudas
Philadelphia Flyers,Winnipeg Jets,1,Kevin Hayes
Minnesota Wild,Toronto Maple Leafs,1,Fedor Gordeev
New York Rangers,Carolina Hurricanes,1,Adam Fox
Carolina Hurricanes,San Jose Sharks,1,Kyle Wood
Tampa Bay Lightning,Ottawa Senators,2,"Mike Condon, 2020 6th round pick"
Vegas Golden Knights,New Jersey Devils,2,"2020 3rd round pick, 2021 2nd round pick"
Edmonton Oilers,Pittsburgh Penguins,1,2021 conditional 6th round pick
St. Louis Blues,Toronto Maple Leafs,1,Andreas Borgman
Vegas Golden Knights,Toronto Maple Leafs,1,Garret Sparks
Edmonton Oilers,Calgary Flames,1,James Neal
Ottawa Senators,Chicago Blackhawks,1,Artem Anisimov
Chicago Blackhawks,Buffalo Sabres,1,Alexander Nylander
Toronto Maple Leafs,Ottawa Senators,4,"Cody Ceci, Ben Harpur, Aaron Luchuk, 2020 3rd round pick"
New York Rangers,Buffalo Sabres,1,2021 3rd round pick
Colorado Avalanche,Toronto Maple Leafs,3,"Nazem Kadri, Calle Rosen, 2020 3rd round pick"
Montreal Canadiens,Chicago Blackhawks,3,"2020 2nd round pick, 2020 7th round pick, 2021 3rd round pick"
Montreal Canadiens,Anaheim Ducks,1,2020 4th round pick
Florida Panthers,Carolina Hurricanes,2,"Scott Darling, 2020 6th round pick"
Arizona Coyotes,Pittsburgh Penguins,3,"Phil Kessel, Dane Birks, 2021 4th round pick"
Florida Panthers,Colorado Avalanche,1,Dominic Toninato
Vegas Golden Knights,Buffalo Sabres,2,"2021 2nd round pick, 2022 5th round pick"
Washington Capitals,Colorado Avalanche,3,"Scott Kosmachuk, 2020 2nd round pick, 2020 3rd round pick"
Vegas Golden Knights,Carolina Hurricanes,2,"Nicolas Roy, 2021 conditional 5th round pick"
Colorado Avalanche,Arizona Coyotes,2,"Kevin Connauton, 2020 3rd round pick"
Carolina Hurricanes,Chicago Blackhawks,2,"Gustav Forsling, Anton Forsberg"
Dallas Stars,Philadelphia Flyers,1,Ryan Hartman
Vancouver Canucks,San Jose Sharks,2,"Francis Perron, 2019 7th round pick"
Chicago Blackhawks,New Jersey Devils,1,John Quenneville
Tampa Bay Lightning,Vancouver Canucks,3,"Marek Mazanec, 2019 3rd round pick, 2020 conditional 1st round pick"
Nashville Predators,New Jersey Devils,4,"Steven Santini, Jeremy Davies, 2019 2nd round pick, 2020 2nd round pick"
Toronto Maple Leafs,Carolina Hurricanes,1,2020 6th round pick
San Jose Sharks,Philadelphia Flyers,2,"2019 2nd round pick, 2020 3rd round pick"
Winnipeg Jets,New York Rangers,2,"Neal Pionk, 2019 1st round pick"
Pittsburgh Penguins,Chicago Blackhawks,2,"Dominik Kahun, 2019 5th round pick"
Tampa Bay Lightning,Nashville Predators,1,2021 7th round pick
Philadelphia Flyers,Washington Capitals,1,Matt Niskanen
Winnipeg Jets,Philadelphia Flyers,1,2019 5th round pick
Toronto Maple Leafs,Minnesota Wild,1,2020 7th round pick
Carolina Hurricanes,New York Rangers,2,"2019 2nd round pick, 2020 conditional 3rd round pick"
